country,ccias.rich,ccias.poor,ccias.fatal,Between.Inequality.Wide,Between.Redistribution,Between.Migration,Between.Fairness,Moralization,Moral.Outrage,Position.Own.Country,General.Trust.Inst,trust.institution,Horizontal.Trust,zero.sum,meritocracy,social.dominance,eco.system.just,identif.country,identif.world,subjective.ses,Pol.Orientation,Age,Gender,Education,Gender_fac
uk,3,3,3,3,3,2,2,2,3,3,3,225,3,3,4,35,28,2,3,5,4,25,2,14,2
uk,2,1,2,3,1,3,3,3,2,4,3,325,3,3,3,275,31,2,2,5,3,31,2,19,2
uk,5,2,4,5,4,4,1,5,5,5,5,1,1,5,4,1,21,1,1,4,3,30,1,17,1
uk,4,2,3,4,3,3,3,4,3,5,4,225,3,3,3,225,28,3,6,9,6,37,2,24,2
uk,4,2,1,5,2,4,2,5,3,4,3,325,1,3,2,15,21,2,2,6,7,24,2,15,2
uk,4,1,1,5,2,5,3,3,3,4,5,45,2,4,3,225,3,4,2,7,6,27,2,17,2
uk,4,1,1,5,4,3,1,5,3,2,3,25,4,3,2,125,15,3,5,5,3,43,2,21,2
uk,3,2,1,4,1,4,2,4,3,5,5,325,2,1,3,1,26,6,4,9,6,22,1,17,1
uk,4,2,2,5,4,2,2,4,3,2,3,15,3,3,4,125,29,3,2,5,6,32,2,15,2
uk,3,3,1,4,4,4,3,3,3,3,4,325,3,4,4,125,32,4,3,5,6,34,2,18,2
uk,4,2,1,5,4,4,1,4,4,5,4,325,3,4,3,15,21,5,4,4,4,45,2,21,2
uk,5,2,2,5,2,3,2,4,4,4,5,325,3,5,4,1,27,3,4,7,8,36,1,18,1
uk,4,3,2,5,5,2,2,4,3,2,4,325,3,3,4,2,37,7,1,4,6,46,2,11,2
uk,5,1,3,5,4,5,1,5,4,4,5,325,2,4,3,1,14,2,4,5,4,41,2,12,2
uk,5,3,3,5,5,5,1,5,5,3,5,35,3,5,4,1,26,7,3,5,3,63,2,11,2
uk,4,3,3,4,3,3,3,4,3,3,3,275,2,4,2,2,23,3,2,3,6,61,2,17,2
uk,3,3,3,4,2,4,2,3,3,4,4,375,3,4,4,25,32,4,2,5,7,38,2,14,2
uk,5,4,2,4,2,4,2,4,4,3,4,1,1,3,4,2,27,4,2,5,6,68,2,13,2
uk,4,2,2,4,3,5,2,4,3,4,4,325,2,4,3,225,32,6,3,7,4,32,2,18,2
uk,4,2,2,5,4,2,1,4,4,4,5,2,2,3,3,125,14,4,3,7,4,49,2,22,2
uk,5,2,1,4,4,2,2,4,3,5,5,3,2,5,3,175,24,2,4,6,3,56,1,16,1
uk,5,2,1,5,4,5,1,5,3,5,5,35,1,4,4,1,22,3,3,5,4,39,2,16,2
uk,5,1,2,5,2,5,2,5,3,5,5,325,2,4,2,1,1,4,5,6,4,23,2,19,2
uk,4,4,2,3,1,3,3,3,1,4,4,325,1,3,3,25,32,7,3,4,7,54,1,12,1
uk,4,1,1,5,4,4,2,4,3,4,4,375,4,4,2,175,2,3,3,6,3,51,2,24,2
uk,3,3,3,3,2,3,3,3,3,3,3,325,2,3,3,3,3,3,2,4,6,27,2,15,2
uk,5,1,1,4,5,5,2,5,2,4,4,325,3,4,3,15,21,2,2,5,3,26,2,10,2
uk,3,3,2,5,3,3,1,5,4,5,2,1,1,4,4,1,23,5,3,6,7,33,2,15,2
uk,5,1,1,5,3,5,1,5,4,4,5,375,1,5,1,15,13,5,3,7,3,34,2,18,2
uk,4,2,2,4,2,5,3,4,2,4,2,325,2,2,3,325,27,4,2,5,4,23,1,12,1
uk,3,2,1,5,2,4,2,3,2,5,5,325,4,4,3,1,14,4,5,7,6,46,2,15,2
uk,4,2,2,5,5,5,1,4,4,4,5,25,2,4,3,225,25,4,4,6,3,30,2,14,2
uk,4,3,3,4,2,4,3,3,3,4,3,325,3,3,2,25,27,6,3,5,6,38,2,11,2
uk,3,2,2,3,2,4,3,3,2,4,3,3,2,3,2,275,25,3,2,4,6,40,2,14,2
uk,4,1,3,5,3,5,1,4,3,4,4,325,2,5,2,125,18,5,5,7,4,28,2,15,2
uk,4,1,4,5,3,4,2,3,3,5,4,325,3,3,3,225,24,6,6,7,4,50,2,18,2
uk,5,1,2,5,5,5,1,5,4,5,5,375,3,4,3,1,14,3,6,6,3,37,2,18,2
uk,5,1,2,5,5,3,1,5,4,5,5,45,4,4,1,1,12,3,7,8,2,59,2,19,2
uk,2,3,1,3,4,4,3,4,3,4,4,35,4,3,4,25,3,6,4,2,9,51,1,12,1
uk,4,3,3,5,1,1,2,3,3,5,4,3,3,3,4,15,26,2,1,3,6,59,2,12,2
uk,5,2,2,5,3,4,1,4,4,5,3,325,3,4,1,225,17,2,6,5,1,29,2,14,2
uk,4,2,3,3,2,4,3,3,3,4,4,2,1,3,4,175,26,4,2,4,5,36,2,12,2
uk,3,3,3,4,2,3,3,2,1,4,3,5,2,2,5,1,4,6,2,5,10,66,2,12,2
uk,4,3,3,4,2,4,3,2,2,3,3,3,2,2,4,175,28,5,5,5,6,39,2,16,2
uk,4,2,3,4,4,4,2,4,3,4,4,45,3,3,3,2,22,6,3,7,4,50,1,17,1
uk,4,3,3,4,3,4,3,1,4,5,5,325,1,3,4,125,19,2,3,3,3,37,2,19,2
uk,2,3,2,4,1,3,2,3,2,3,4,325,2,1,4,225,26,4,2,6,6,29,1,12,1
uk,4,3,3,4,3,4,2,4,4,4,5,35,3,4,3,225,28,4,5,5,8,57,1,17,1
uk,5,1,2,5,5,5,1,4,4,5,5,325,4,4,2,15,17,2,2,6,2,29,1,21,1
uk,4,2,3,4,3,4,2,4,3,4,4,325,1,2,3,1,3,7,4,6,4,20,2,15,2
uk,5,1,2,5,5,5,1,5,5,5,3,375,2,4,2,1,1,1,7,7,5,40,1,18,1
uk,4,3,2,5,3,4,2,4,3,3,3,35,1,4,2,125,14,4,2,3,4,39,2,13,2
uk,5,1,1,5,5,5,1,5,4,4,5,4,4,4,3,1,13,3,4,7,1,53,1,15,1
uk,4,3,2,4,1,1,3,4,2,2,4,325,3,4,4,1,31,7,2,3,6,30,2,15,2
uk,4,2,3,4,3,2,2,4,3,4,3,275,4,3,3,15,24,4,3,7,6,55,2,21,2
uk,3,2,2,5,4,5,2,5,4,4,4,375,2,3,3,225,25,3,2,6,4,30,2,19,2
uk,5,1,1,5,4,5,1,5,5,5,3,175,4,2,1,125,11,2,5,3,1,31,2,18,2
uk,4,1,2,5,3,4,1,4,3,5,3,3,4,4,2,225,18,4,4,5,4,32,2,15,2
uk,3,1,2,4,3,4,2,4,3,5,3,4,4,3,4,225,27,7,7,7,6,54,2,14,2
uk,2,4,3,3,2,3,4,2,1,4,5,35,4,2,5,3,42,6,5,8,9,59,1,13,1
uk,5,1,1,5,5,5,1,5,5,4,5,325,3,5,3,1,12,2,2,4,1,24,2,14,2
uk,5,1,2,5,3,5,1,4,3,5,5,325,4,3,1,125,12,2,5,4,1,22,3,17,3
uk,4,3,3,4,3,4,3,3,2,4,4,325,3,3,4,2,32,2,3,5,6,34,2,11,2
uk,4,3,1,5,4,5,1,5,4,3,4,35,3,1,3,125,15,2,3,4,1,22,1,18,1
uk,5,2,2,5,2,3,2,4,3,4,5,3,2,4,2,225,12,1,3,7,3,33,1,14,1
uk,4,2,4,5,4,4,2,4,4,5,5,325,4,4,3,1,23,4,3,8,4,35,2,17,2
uk,4,2,2,5,3,4,2,4,3,4,4,325,2,4,3,15,17,3,2,6,3,33,1,13,1
uk,5,1,2,5,4,3,2,4,3,5,5,4,2,5,4,1,2,4,3,5,5,44,2,20,2
uk,5,2,1,5,5,5,1,4,4,5,3,3,3,4,3,15,14,4,3,3,4,53,2,18,2
uk,4,1,1,5,5,5,1,5,4,5,5,325,3,3,1,1,15,2,4,7,2,44,2,24,2
uk,5,1,1,5,2,5,1,5,5,5,5,325,3,4,1,125,14,3,5,4,1,22,2,19,2
uk,3,2,2,4,2,4,2,5,3,4,4,35,2,3,4,225,29,3,2,5,6,27,2,21,2
uk,3,3,1,5,1,3,3,3,3,3,3,325,2,4,4,2,26,7,1,4,6,25,2,14,2
uk,3,3,2,4,3,4,2,4,3,3,4,35,1,4,3,1,27,7,4,6,6,63,2,12,2
uk,5,1,1,5,1,4,2,4,4,4,5,375,2,5,3,1,22,5,2,4,4,33,2,16,2
uk,4,3,2,5,5,3,2,4,4,4,4,325,2,3,4,125,26,3,1,3,6,40,2,14,2
uk,5,2,2,5,5,5,1,5,5,5,5,425,4,5,3,1,17,5,5,8,4,35,2,18,2
uk,4,2,2,4,3,4,3,4,3,5,3,325,4,3,3,3,27,5,3,4,5,48,1,12,1
uk,4,2,3,5,4,5,2,4,4,4,4,35,4,4,4,15,25,4,4,6,3,37,2,11,2
uk,4,3,2,5,3,4,1,3,3,5,4,35,3,5,4,25,34,2,4,5,6,42,2,17,2
uk,4,2,1,5,2,4,1,5,2,5,5,4,2,2,4,175,26,3,2,4,9,45,2,22,2
uk,4,2,3,5,4,4,2,5,3,5,4,425,2,4,3,1,24,6,2,6,6,40,2,15,2
uk,4,2,3,5,5,5,1,5,4,4,3,325,3,5,2,1,31,4,5,2,6,51,2,12,2
uk,4,2,2,5,5,5,1,5,4,5,5,5,2,3,3,1,21,2,7,7,4,52,1,16,1
uk,4,1,3,5,2,3,1,3,3,5,5,325,3,3,3,125,2,3,2,8,7,60,2,15,2
uk,2,4,3,4,4,3,4,3,2,5,2,275,3,1,4,375,41,5,2,7,9,64,1,17,1
uk,4,1,1,5,5,5,1,5,3,5,5,35,4,2,2,125,14,4,5,8,4,70,2,18,2
uk,5,2,2,5,5,5,1,5,5,4,5,225,4,4,3,15,19,5,3,3,3,31,1,20,1
uk,5,1,1,5,5,5,1,5,5,5,5,375,3,5,3,15,19,1,2,7,1,57,2,20,2
uk,3,4,2,3,3,3,2,3,3,4,3,325,3,2,4,225,3,5,4,5,6,38,1,11,1
uk,4,1,2,5,3,3,2,4,4,5,5,35,3,3,2,125,21,3,2,6,4,35,2,17,2
uk,4,1,2,5,5,5,1,5,4,4,5,325,3,4,2,1,18,3,4,6,3,35,2,17,2
uk,5,1,2,5,4,5,1,4,4,5,4,375,4,4,2,125,18,4,3,5,6,34,2,16,2
uk,4,1,1,4,5,4,2,4,3,3,4,325,3,4,2,1,15,3,5,5,3,30,2,25,2
uk,4,1,2,5,5,5,1,4,3,5,5,375,3,3,2,125,13,4,6,7,4,33,2,15,2
uk,3,3,2,3,3,3,3,4,4,5,5,325,4,2,4,2,24,7,4,4,6,59,2,12,2
uk,4,3,2,5,4,3,3,4,3,3,4,325,2,3,3,15,28,4,2,5,6,35,2,20,2
uk,4,2,3,5,5,5,1,5,5,3,5,325,4,4,2,125,25,5,2,3,4,57,2,14,2
uk,4,2,2,5,2,4,2,4,3,5,4,325,3,3,3,2,26,6,2,5,7,35,2,13,2
uk,4,3,2,5,3,4,1,5,4,4,4,325,1,4,3,125,27,3,1,4,6,18,2,14,2
uk,4,2,1,4,3,4,3,3,3,3,4,4,2,4,3,1,2,2,2,4,3,46,2,17,2
uk,3,2,3,5,3,2,2,3,3,4,3,375,2,4,2,275,35,5,4,6,6,27,2,18,2
uk,5,1,1,5,3,5,1,3,3,4,5,325,3,4,3,1,14,3,3,2,2,23,2,15,2
uk,3,2,2,5,4,4,2,4,4,3,4,3,2,3,3,1,25,4,4,7,6,40,2,11,2
uk,5,1,1,5,5,5,1,4,4,5,5,4,2,3,3,225,17,1,1,4,2,38,2,15,2
uk,5,1,2,5,4,5,2,4,3,5,4,325,4,4,3,175,24,3,2,3,4,22,2,18,2
uk,4,2,3,5,3,4,3,3,4,4,4,325,2,3,3,2,23,1,3,5,4,29,2,16,2
uk,4,1,1,5,3,4,1,4,2,5,5,425,3,3,2,2,23,5,6,5,4,35,1,18,1
uk,5,2,2,5,3,4,1,5,4,5,4,325,4,4,3,15,11,4,4,6,3,66,2,24,2
uk,5,3,1,5,4,2,1,4,3,5,5,35,3,4,3,15,23,2,1,5,6,24,2,15,2
uk,4,1,2,5,4,5,2,4,3,5,4,425,1,4,3,225,28,5,3,7,8,33,1,10,1
uk,5,1,3,5,4,5,1,5,4,5,4,35,4,5,4,225,16,3,2,7,4,32,2,25,2
uk,4,2,2,4,3,4,2,3,3,4,3,325,3,3,3,15,25,4,3,6,6,41,2,19,2
uk,3,2,2,5,5,2,2,4,4,4,5,3,1,3,3,15,19,5,5,2,6,59,2,18,2
uk,4,3,4,4,1,1,2,3,1,5,4,2,1,4,5,35,36,7,1,7,9,70,2,18,2
uk,4,3,3,5,3,5,1,3,4,4,4,325,3,3,2,15,26,4,2,3,6,46,2,22,2
uk,4,2,2,3,2,4,3,3,3,3,4,375,2,3,3,275,27,6,3,5,5,64,2,16,2
uk,4,2,3,5,4,4,1,4,4,5,4,45,3,4,3,175,19,4,4,6,4,73,1,23,1
uk,4,1,2,5,3,5,3,5,4,4,4,325,3,3,3,1,24,5,4,6,6,27,2,19,2
uk,5,2,3,5,4,3,2,4,2,5,5,5,3,3,3,125,18,4,5,7,7,67,2,19,2
uk,4,2,3,5,3,4,3,5,3,3,4,325,3,5,2,1,18,4,2,5,1,41,2,14,2
uk,4,2,2,4,3,4,2,4,4,4,4,3,4,3,3,2,23,5,3,6,5,31,2,20,2
uk,4,2,2,5,4,4,1,4,4,5,4,3,2,5,3,125,18,6,5,5,6,59,2,17,2
uk,4,2,3,3,2,4,3,2,2,5,1,175,3,1,3,25,24,4,3,7,5,32,1,16,1
uk,4,3,3,4,3,3,2,4,4,5,4,3,2,4,4,175,23,5,3,6,9,42,2,18,2
uk,5,3,1,5,3,3,1,5,4,5,1,1,3,3,2,1,16,4,3,3,3,56,2,12,2
uk,4,2,2,5,5,4,5,4,3,4,4,4,4,4,4,225,25,5,3,6,4,42,2,14,2
uk,4,3,4,5,4,3,2,4,4,4,4,325,3,4,4,175,28,6,5,7,6,45,2,19,2
uk,5,1,3,5,3,5,1,5,4,1,5,4,4,4,4,1,22,4,3,7,4,36,1,16,1
uk,4,2,1,4,3,5,2,4,4,4,4,35,3,5,4,1,23,2,1,2,6,43,1,12,1
uk,4,3,1,5,4,5,1,5,4,5,4,1,5,4,5,1,23,2,2,5,1,47,2,16,2
uk,5,1,1,5,5,5,1,5,5,5,5,275,2,4,1,15,1,3,5,2,1,57,1,13,1
uk,2,1,1,4,3,4,2,3,2,3,2,3,3,1,3,1,2,6,3,5,7,53,2,11,2
uk,3,2,1,4,3,3,2,3,3,4,5,325,2,3,2,125,19,3,4,6,4,33,2,16,2
uk,3,3,2,2,3,3,2,3,2,3,2,375,3,3,3,225,3,5,5,6,6,33,2,23,2
uk,3,3,2,4,3,3,2,4,3,5,4,325,2,4,3,175,24,3,3,5,6,21,1,14,1
uk,4,1,2,5,2,4,2,4,4,4,5,325,3,3,3,275,28,3,3,7,6,56,2,18,2
uk,4,2,2,4,3,4,2,5,3,1,4,325,2,4,2,175,2,5,4,7,3,34,2,17,2
uk,4,2,3,5,2,3,2,2,2,5,2,2,3,2,3,225,28,4,2,3,4,35,1,13,1
uk,3,3,3,3,3,3,3,1,3,5,3,4,3,3,3,3,3,5,5,5,6,26,1,13,1
uk,3,3,2,5,3,4,3,3,3,3,5,45,5,2,3,175,33,6,5,6,9,75,2,12,2
uk,4,3,2,4,3,4,3,3,2,4,3,275,3,3,3,2,24,3,2,4,6,45,1,14,1
uk,3,2,1,5,4,5,1,4,3,1,3,45,4,3,2,225,24,2,5,7,4,45,1,18,1
uk,4,2,4,5,4,4,2,5,4,5,4,35,2,3,2,2,13,3,5,6,4,30,2,18,2
uk,2,2,2,5,2,3,4,4,3,5,4,325,2,2,4,225,27,2,1,5,6,31,2,15,2
uk,4,3,2,5,4,4,2,4,3,4,4,325,1,3,4,15,23,4,2,6,2,64,1,18,1
uk,5,3,2,2,1,3,5,4,1,5,5,425,2,4,4,175,28,1,1,4,7,52,1,12,1
uk,5,1,2,4,3,4,2,3,3,5,5,375,4,4,3,2,25,3,4,6,6,59,1,11,1
uk,5,1,3,5,5,5,1,5,5,5,5,325,4,5,2,225,11,2,4,2,1,47,1,17,1
uk,3,2,2,2,1,5,3,3,1,4,1,2,3,2,4,3,34,3,3,8,7,65,1,18,1
uk,4,3,2,4,5,3,3,4,3,2,3,325,2,4,4,275,31,5,2,3,7,20,1,16,1
uk,5,1,2,5,4,5,1,5,5,5,5,275,4,5,4,1,19,4,4,6,5,30,2,17,2
uk,5,2,2,4,3,5,3,4,3,4,5,325,3,3,3,175,26,5,4,6,6,28,2,18,2
uk,4,2,1,5,5,5,1,5,5,5,4,25,2,4,4,1,28,4,3,6,3,32,1,22,1
uk,3,3,1,2,1,2,3,3,1,4,1,275,4,3,4,2,31,5,2,3,5,52,1,11,1
uk,4,2,4,4,3,4,4,3,4,5,4,45,4,3,4,2,23,4,3,7,4,47,1,12,1
uk,4,3,3,5,3,3,1,3,3,5,3,325,3,4,3,15,19,5,3,2,5,39,2,16,2
uk,3,2,3,5,4,2,3,3,3,5,4,25,4,2,3,1,19,4,3,7,4,66,1,18,1
uk,5,3,4,5,4,4,1,5,5,3,4,225,1,5,2,1,17,2,1,3,1,47,2,11,2
uk,4,1,2,5,5,5,2,4,4,5,5,425,2,2,3,175,26,2,5,6,4,41,1,18,1
uk,5,3,2,5,5,4,1,5,5,4,4,325,2,3,3,1,21,2,3,6,3,38,1,18,1
uk,5,2,1,5,5,5,1,5,5,5,5,125,1,5,1,1,17,3,3,4,4,34,1,7,1
uk,4,1,2,4,3,4,3,3,3,3,5,325,1,4,3,175,17,1,1,3,1,23,2,17,2
uk,4,3,2,4,3,4,2,4,3,3,4,325,4,3,2,1,18,4,2,4,6,54,1,12,1
uk,4,4,2,5,3,4,1,4,4,5,4,1,2,4,4,2,26,6,3,5,5,34,1,18,1
uk,4,2,2,5,5,5,1,4,3,3,4,375,3,4,2,125,15,3,1,6,5,50,2,17,2
uk,4,2,1,5,4,5,2,4,3,3,5,325,4,4,4,1,13,1,2,4,6,34,1,13,1
uk,3,2,2,4,3,3,3,2,2,3,3,35,2,3,3,15,28,6,5,4,6,59,2,11,2
uk,3,2,3,3,1,1,3,3,3,5,1,1,3,3,3,225,32,5,3,7,9,63,1,14,1
uk,4,1,1,4,3,5,2,4,3,5,5,325,4,4,4,1,11,4,5,4,3,42,1,17,1
uk,4,4,2,5,1,4,1,4,1,4,4,1,4,2,3,15,25,5,5,7,1,57,1,19,1
uk,4,3,2,5,4,4,2,5,4,5,4,35,4,3,3,1,17,3,4,7,3,30,1,18,1
uk,4,3,3,4,2,3,4,3,2,4,5,45,4,4,4,25,32,6,3,8,9,65,1,21,1
uk,4,1,2,4,3,4,2,4,4,5,5,35,4,3,2,1,21,4,5,6,3,76,1,12,1
uk,3,2,2,3,2,4,2,4,3,5,3,275,4,2,3,35,27,4,2,5,6,33,1,12,1
uk,4,3,2,5,5,5,1,5,4,4,4,3,2,4,4,175,22,5,4,6,5,29,1,16,1
uk,4,1,3,4,1,4,3,4,1,4,3,35,4,3,4,15,35,5,2,7,7,70,1,11,1
uk,4,2,3,5,4,4,2,4,3,3,4,325,3,4,3,15,24,7,4,4,6,36,2,15,2
uk,5,1,2,5,2,4,1,5,3,5,5,2,2,4,3,175,16,3,5,4,4,31,1,17,1
uk,5,3,3,4,1,3,1,4,1,5,3,1,2,5,4,3,28,3,2,5,6,27,1,10,1
uk,3,2,2,5,2,4,1,5,3,5,3,25,2,2,2,175,17,5,5,6,5,34,1,20,1
uk,5,4,3,5,4,2,2,3,2,5,5,325,5,5,4,2,2,4,3,9,4,38,1,11,1
uk,4,2,2,4,2,3,2,4,2,5,4,375,4,4,3,325,29,7,2,7,9,59,1,13,1
uk,4,2,1,4,4,4,2,2,4,3,4,35,3,4,3,15,21,3,3,6,4,40,2,17,2
uk,4,2,2,5,4,3,1,1,3,4,4,375,4,4,4,125,21,5,3,4,6,42,1,15,1
uk,4,3,2,5,3,4,2,4,3,5,5,325,3,3,4,1,21,7,6,4,5,42,1,21,1
uk,5,1,1,5,5,5,1,5,5,5,3,3,1,5,4,1,28,2,4,6,1,38,2,17,2
uk,4,2,1,5,4,4,2,5,4,5,5,425,4,2,3,225,19,3,5,7,5,51,1,12,1
uk,3,2,1,5,4,4,3,3,3,4,2,325,3,2,4,225,3,7,5,5,8,33,2,16,2
uk,3,4,1,1,1,5,5,1,1,5,5,2,1,5,5,5,46,6,4,3,9,37,1,12,1
uk,3,3,2,2,2,2,3,4,2,4,2,325,3,2,4,25,28,5,4,6,7,30,1,15,1
uk,3,3,3,4,2,2,3,4,2,4,4,275,4,4,3,35,31,4,3,5,6,30,1,16,1
uk,4,2,1,4,1,4,2,2,2,1,4,325,4,4,3,175,32,3,3,6,7,37,1,15,1
uk,4,3,2,4,4,4,2,4,3,4,5,275,3,4,4,25,27,5,4,7,7,66,1,20,1
uk,3,3,1,4,1,1,3,3,3,4,3,25,3,3,4,125,24,3,2,5,7,56,1,13,1
uk,3,1,1,4,2,3,2,4,3,5,3,375,4,2,4,15,25,6,5,3,8,54,1,20,1
uk,4,2,2,5,3,5,2,4,3,5,5,325,3,5,2,1,2,4,2,3,3,33,1,17,1
uk,4,2,2,4,2,3,2,3,3,5,3,3,4,3,4,2,26,3,2,5,6,52,1,13,1
uk,2,3,3,4,1,3,2,3,2,3,3,3,3,2,3,275,32,7,5,6,9,54,1,14,1
uk,4,1,1,5,5,5,1,5,4,5,5,325,4,4,2,1,15,3,5,3,4,51,1,21,1
uk,3,3,3,4,3,3,2,4,3,5,3,325,3,2,3,25,26,5,3,5,7,34,1,16,1
uk,5,1,3,5,4,5,1,5,5,1,5,325,4,3,3,125,16,3,3,6,2,41,1,18,1
uk,4,2,4,4,2,3,2,3,2,5,4,275,2,2,2,15,23,5,2,5,6,31,2,16,2
uk,4,3,1,3,1,4,3,3,2,5,5,475,4,3,4,275,35,5,3,8,8,53,1,13,1
uk,4,3,3,5,1,4,2,4,2,4,5,5,1,3,4,1,25,6,4,6,7,42,1,14,1
uk,5,3,3,4,5,5,2,4,3,3,5,175,2,5,4,175,27,3,2,6,6,26,1,18,1
uk,4,1,3,5,4,5,1,4,3,4,5,325,2,3,3,125,19,5,3,5,2,35,1,15,1
uk,4,2,2,5,5,5,1,5,4,1,5,425,3,5,4,1,18,3,3,4,4,51,1,18,1
uk,5,3,4,4,1,3,1,4,2,5,3,1,2,5,4,225,26,3,3,4,7,28,1,12,1
uk,3,3,2,3,1,2,3,3,1,5,5,3,2,2,4,375,42,7,4,6,8,54,1,16,1
uk,5,1,2,5,1,5,3,3,1,4,5,4,4,3,4,1,21,7,2,1,6,51,1,16,1
uk,4,3,2,4,2,5,2,3,4,5,5,425,2,3,4,175,28,6,3,5,7,30,1,17,1
uk,4,2,1,4,3,3,2,4,4,5,5,225,3,3,3,2,21,4,5,8,3,57,1,16,1
uk,4,2,2,5,5,3,1,5,4,3,4,325,3,4,3,15,22,3,2,3,6,34,1,16,1
uk,3,2,3,4,3,4,2,4,3,5,5,45,3,2,3,15,27,5,3,5,4,61,1,16,1
uk,2,4,5,1,1,1,3,4,1,5,1,1,1,1,1,475,35,4,2,9,8,36,1,22,1
uk,5,1,1,5,4,5,1,4,3,4,4,5,3,5,3,125,27,4,2,6,5,32,1,17,1
uk,5,1,2,5,5,5,1,5,5,1,5,3,4,5,2,1,12,3,7,7,2,61,1,18,1
uk,3,4,2,5,2,2,1,5,3,4,3,225,3,1,3,25,15,5,4,6,1,47,1,19,1
uk,3,3,3,4,3,2,3,3,2,4,3,3,3,4,4,225,33,7,3,6,9,51,1,18,1
uk,4,2,1,5,5,4,1,4,4,5,4,45,4,4,3,2,29,2,4,7,6,53,1,15,1
uk,2,3,2,4,1,3,3,3,2,4,4,325,2,3,4,15,25,3,2,4,3,29,1,14,1
uk,2,3,2,2,1,2,3,3,1,4,3,425,3,1,5,275,39,7,4,7,9,30,1,18,1
uk,4,2,3,4,2,4,3,3,2,1,5,35,4,2,2,225,19,3,3,7,4,62,1,16,1
uk,3,4,3,4,1,4,3,3,2,3,2,1,2,4,4,225,3,4,2,4,7,60,1,12,1
uk,4,3,2,4,3,3,3,4,3,4,4,3,3,2,3,25,25,3,4,6,4,35,1,20,1
uk,5,2,1,5,4,4,1,5,2,1,4,25,3,5,2,1,17,5,3,7,2,41,1,21,1
uk,4,2,3,4,4,4,2,4,3,3,4,325,2,2,4,175,26,3,2,4,4,43,1,11,1
uk,2,3,3,5,1,3,3,3,1,1,5,1,4,1,5,3,26,6,3,4,7,60,1,16,1
uk,5,2,3,5,3,3,1,5,4,5,3,325,1,5,4,1,27,6,2,3,6,34,1,13,1
uk,5,1,2,5,2,4,2,4,3,5,5,375,4,4,3,125,26,5,5,6,6,48,1,10,1
uk,5,2,2,5,4,4,1,4,4,5,5,35,4,3,3,275,21,3,3,5,4,53,1,15,1
uk,4,2,3,4,2,3,3,3,3,4,3,25,3,2,3,1,25,3,2,7,7,35,1,16,1
uk,4,3,2,5,4,5,1,5,3,5,3,425,1,4,4,175,26,5,2,9,7,31,1,16,1
uk,4,2,3,4,2,4,2,4,4,4,4,375,3,4,3,175,2,5,3,7,7,55,1,13,1
uk,3,1,2,5,4,5,2,4,2,5,5,45,4,2,3,1,17,5,3,3,5,36,1,11,1
uk,3,4,3,3,2,3,3,3,2,3,4,325,3,3,3,275,33,7,2,5,7,63,1,11,1
uk,3,2,1,3,2,3,3,3,3,4,4,2,2,2,3,25,27,3,3,5,6,55,1,20,1
uk,4,1,1,5,5,5,1,5,5,5,5,325,3,5,2,1,11,4,5,4,4,24,1,17,1
uk,4,1,3,4,3,3,2,4,3,5,5,275,2,3,3,15,21,5,3,4,7,41,1,14,1
uk,5,1,3,5,4,5,2,4,4,5,5,45,3,3,3,1,2,5,3,4,7,63,1,12,1
